feature,importance,fold
REG_REGION_NOT_LIVE_REGION,0,6
ACT_DAYS_CREDIT_UPDATE_MEAN,0,6
ACT_DAYS_CREDIT_UPDATE_MIN,0,6
ACT_MONTHS_BALANCE_MAX_MAX,0,6
BURO_CREDIT_CURRENCY_currency 1_MEAN,0,6
BURO_CREDIT_CURRENCY_currency 3_MEAN,0,6
PREV_NAME_GOODS_CATEGORY_Tourism_MEAN,0,6
BURO_CREDIT_TYPE_Real estate loan_MEAN,0,6
PREV_NAME_SELLER_INDUSTRY_Tourism_MEAN,0,6
PREV_NAME_SELLER_INDUSTRY_MLM partners_MEAN,0,6
